image,critical,high,total
rancher/k3s:v1.33.10-k3s1,0,10,10
rancher/klipper-helm:v0.9.14-build20260309,0,7,7
rancher/klipper-lb:v0.4.15,0,4,4
rancher/local-path-provisioner:v0.0.35,0,5,5
