image,critical,high,total
rancher/k3s:v1.33.7-k3s3,0,4,4
rancher/klipper-helm:v0.9.12-build20251215,0,6,6
rancher/klipper-lb:v0.4.13,0,3,3
rancher/local-path-provisioner:v0.0.34,2,5,7
