image,critical,high,total
rancher/k3s:v1.34.3-rc7-k3s1,0,1,1
rancher/klipper-helm:v0.9.12-build20251215,0,0,0
rancher/klipper-lb:v0.4.13,0,0,0
rancher/local-path-provisioner:v0.0.32,0,4,4
