image,critical,high,total
rancher/k3s:v1.36.0-k3s1,0,13,13
rancher/klipper-helm:v0.9.17-build20260422,0,9,9
rancher/klipper-lb:v0.4.15,2,10,12
rancher/local-path-provisioner:v0.0.35,2,14,16
