image,critical,high,total
rancher/k3s:v1.33.11-k3s1,0,16,16
rancher/klipper-helm:v0.9.17-build20260422,0,9,9
rancher/klipper-lb:v0.4.15,0,2,2
rancher/local-path-provisioner:v0.0.35,0,6,6
