image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-25679,LOW,https://avd.aquasec.com/nvd/cve-2026-25679,bin/cni,"1.25.8, 1.26.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-25679,LOW,https://avd.aquasec.com/nvd/cve-2026-25679,bin/containerd-shim-runc-v2,"1.25.8, 1.26.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-25679,LOW,https://avd.aquasec.com/nvd/cve-2026-25679,bin/k3s,"1.25.8, 1.26.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,github.com/docker/cli,v28.3.2+incompatible,gobinary,CVE-2025-15558,HIGH,https://avd.aquasec.com/nvd/cve-2025-15558,bin/k3s,29.2.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,go.opentelemetry.io/otel/sdk,v1.39.0,gobinary,CVE-2026-24051,HIGH,https://avd.aquasec.com/nvd/cve-2026-24051,bin/k3s,1.40.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,golang.org/x/crypto,v0.28.0,gobinary,CVE-2024-45337,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-45337,bin/k3s,0.31.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,golang.org/x/crypto,v0.28.0,gobinary,CVE-2025-22869,HIGH,https://avd.aquasec.com/nvd/cve-2025-22869,bin/k3s,0.35.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,golang.org/x/crypto,v0.28.0,gobinary,CVE-2025-47914,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-47914,bin/k3s,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,golang.org/x/crypto,v0.28.0,gobinary,CVE-2025-58181,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-58181,bin/k3s,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,gopkg.in/square/go-jose.v2,v2.6.0,gobinary,CVE-2024-28180,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-28180,bin/k3s,,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.32.13-k3s1,k3s/v1.32.13,stdlib,v1.24.13,gobinary,CVE-2026-25679,LOW,https://avd.aquasec.com/nvd/cve-2026-25679,bin/runc,"1.25.8, 1.26.1",false,affected,severity_changed_due_to_suse_cvss_score
