image,critical,high,total
rancher/k3s:v1.35.0-k3s3,0,0,0
rancher/klipper-helm:v0.9.12-build20251215,1,3,4
rancher/klipper-lb:v0.4.13,1,3,4
rancher/local-path-provisioner:v0.0.34,2,4,6
