image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,github.com/containerd/containerd/v2,v2.2.4-k3s2,gobinary,CVE-2026-46680,HIGH,https://avd.aquasec.com/nvd/cve-2026-46680,bin/containerd-shim-runc-v2,"2.0.9, 2.2.4, 2.3.1",false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,google.golang.org/grpc,v1.78.0,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,bin/containerd-shim-runc-v2,1.79.3,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-34040,HIGH,https://avd.aquasec.com/nvd/cve-2026-34040,bin/k3s,29.3.1,false,affected,
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-41567,HIGH,https://avd.aquasec.com/nvd/cve-2026-41567,bin/k3s,,false,affected,
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-42306,HIGH,https://avd.aquasec.com/nvd/cve-2026-42306,bin/k3s,,false,affected,
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-33997,HIGH,https://avd.aquasec.com/nvd/cve-2026-33997,bin/k3s,29.3.1,false,affected,severity_changed_due_to_suse_cvss_score
rancher/k3s:v1.35.6-rc1-k3s1,k3s/v1.35.6-rc1,google.golang.org/grpc,v1.72.2,gobinary,CVE-2026-33186,HIGH,https://avd.aquasec.com/nvd/cve-2026-33186,bin/k3s,1.79.3,false,affected,severity_changed_due_to_suse_cvss_score
rancher/local-path-provisioner:v0.0.36,k3s/v1.35.6-rc1,libcrypto3,3.5.6-r0,alpine,CVE-2026-45447,HIGH,https://avd.aquasec.com/nvd/cve-2026-45447,rancher/local-path-provisioner:v0.0.36 (alpine 3.23.4),3.5.7-r0,false,affected,
rancher/local-path-provisioner:v0.0.36,k3s/v1.35.6-rc1,libssl3,3.5.6-r0,alpine,CVE-2026-45447,HIGH,https://avd.aquasec.com/nvd/cve-2026-45447,rancher/local-path-provisioner:v0.0.36 (alpine 3.23.4),3.5.7-r0,false,affected,
rancher/local-path-provisioner:v0.0.36,k3s/v1.35.6-rc1,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,usr/bin/local-path-provisioner,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
