image,critical,high,total
rancher/k3s:v1.32.13-k3s1,0,11,11
rancher/klipper-helm:v0.9.14-build20260210,0,5,5
rancher/klipper-lb:v0.4.14,0,2,2
rancher/local-path-provisioner:v0.0.34,0,4,4
