image,critical,high,total
rancher/k3s:v1.34.7-rc3-k3s1,0,1,1
rancher/klipper-helm:v0.9.17-build20260422,0,0,0
rancher/klipper-lb:v0.4.15,2,10,12
rancher/local-path-provisioner:v0.0.35,2,11,13
