image,critical,high,total
rancher/k3s:v1.34.3-k3s1,0,1,1
rancher/klipper-helm:v0.9.12-build20251215,1,3,4
rancher/klipper-lb:v0.4.13,1,3,4
rancher/local-path-provisioner:v0.0.32,2,8,10
