image,critical,high,total
rancher/k3s:v1.34.7-k3s1,0,11,11
rancher/klipper-helm:v0.9.17-build20260422,0,10,10
rancher/klipper-lb:v0.4.15,0,2,2
rancher/local-path-provisioner:v0.0.35,0,5,5
