image,critical,high,total
rancher/k3s:v1.35.4-rc1-k3s1,0,2,2
rancher/klipper-helm:v0.9.15-build20260324,0,8,8
rancher/klipper-lb:v0.4.15,0,4,4
rancher/local-path-provisioner:v0.0.35,0,5,5
